521132,Block 132 Tampines Street 11
521133,Block 133 Tampines Street 11
521134,Block 134 Tampines Street 11
521135,Block 135 Tampines Street 11
521136,Block 136 Tampines Street 11
521137,Block 137 Tampines Street 11
521138,Block 138 Tampines Street 11
521139,Block 139 Tampines Street 11
521890,Block 890A Tampines Avenue 1
528730,Tampines Concourse Bus Interchange
528765,Giant Tampines
528833,East Point Mall
529426,Tampines Primary School
529427,Tampines Secondary School
529509,Century Square
529510,Tampines Mall
529536,Tampines 1
529538,Tampines MRT Station (EWL)
529544,Tampines MRT Station (DTL)
529757,Temasek Polytechnic
529888,Simei MRT Station
530607,Block 607 Hougang Avenue 4
534257,Paya Lebar Airbase
534799,Kovan MRT Station
534801,Serangoon MRT Station (NEL)
534959,Fragrant Gardens
537605,Kim Chuan Depot
538758,Hougang MRT Station
539536,Hougang Bus Depot
541119,Block 119A Rivervale Drive
543268,Block 268C Compassvale Link
544575,Sengkang Grand Mall
544760,Compassvale Bus Interchange
545051,Sengkang Depot
545061,Buangkok MRT Station
545062,Sengkang MRT Station
545072,Sengkang Depot
545077,Sengkang Bus Interchange
550548,Block 548 Serangoon North Avenue 3
554986,54 Worthing Road
554988,56 Worthing Road
554989,57 Worthing Road
556056,Cheshire Home
556082,Serangoon MRT Station (CCL)
556138,NEX
556588,88 Medway Drive
559664,65 Bodmin Drive
567720,ITE College Central
567751,Ang Mo Kio Bus Interchange
567754,Amoy Quee Camp
569117,Ang Mo Kio Bus Depot (SBS)
569140,Ang Mo Kio Bus Depot (SMRT)
569811,Ang Mo Kio MRT Station
569813,Yio Chu Kang MRT Station
569830,Nanyang Polytechnic
578775,Singapore Island Country Club
579701,Braddell Bus Park
579827,Bishan MRT Station (NSL)
579842,Bishan MRT Station (CCL)
579846,Bishan Depot
588216,Beauty World MRT Station
596302,Maju Camp
596472,Police KINS Training Camp
597006,Ulu Pandan Depot
599489,Ngee Ann Polytechnic
600117,Block 117 Jurong East Street 13
608506,Ulu Pandan Bus Depot
608532,Westgate
608549,Jem
609278,Shell
609412,Vobak Building
609601,IMM Building
609690,Jurong East MRT Station
609731,JCube/JDen
609831,Caltex Jalan Buroh 1 Service Centre
609959,Chinese Garden MRT Station
619110,Jurong Port
619523,ST Kinetics
628054,Jurong Shipyard
628083,Soon Lee Bus Park
628398,Tuas Naval Base
628439,(Closed) Tanjong Gul Camp
628567,Markono Print Media
629116,Joo Koon MRT Station
629122,Jurong Shipyard
629351,Keppel Offshore
629353,Keppel Shipyard (Gul)
629888,Keppel Shipyard
629907,FairPrice Hub
637288,Gul Circle MRT Station
637559,Pasir Laba Camp
637607,Tuas Power Station
637661,300 Lorong Danau (Chua Chu Kang Camp)
638357,Jurong Camp I
638361,Jurong Camp II
638364,SAFTI Military Institute
638419,Tuas Depot
638501,ST Marine
638709,15 Tuas Crescent
638717,23 Tuas Crescent
648170,Bulim Bus Depot
648310,Pioneer MRT Station
648330,Boon Lay Bus Interchange
648886,Jurong Point
649753,16A Jurong West Street 64
649845,Lakeside MRT Station
649846,Boon Lay MRT Station
659083,Bukit Gombak MRT Station
659519,Bukit Batok Bus Depot
659920,Hillview Regency
659958,Bukit Batok MRT Station
667988,Bukit Gombak Camp
669598,Merawoods
669638,Hillview Camp
669642,MINDEF Gombak Base
669644,MINDEF Gombak Base
669645,MINDEF Headquarters
669646,Bukit Panjang Camp
670106,Block 106 Gangsa Road
670216,Block 216 Petir Road
670521,Block 521 Jelapang Road
677730,Gali Batu Depot
678211,Hillview MRT Station
678213,Bukit Panjang MRT Station
678268,Bukit Panjang LRT Station
679696,Cashew MRT Station
683688,Block 688C Choa Chu Kang Crescent
688236,ITE College West
688248,Kranji Camp 3
688253,Police Dog K9 Unit
688255,Mowbray Camp
688256,Kranji Camp 2
688257,Kranji Camp
688728,142 Verde View
688793,Stagmont Camp
689715,Yew Tee MRT Station
689953,Keat Hong Camp 2
689954,Keat Hong Camp
689959,Choa Chu Kang MRT Station
689813,Choa Chu Kang LRT Station
692114,Block 114 Plantation Crescent
698956,Tengah Airbase
698957,Tengah Airbase
698958,300 Jalan Sungei Poyan (Poyan Range)
708970,51 Lorong Serambi
708971,MEXCON
708972,Murai Camp
708973,Murai Camp
708974,25 Old Lim Chu Kang Road
708975,121 Old Lim Chu Kang Road
708976,Lim Chu Kang Camp 2
718844,Sungei Gedong Camp
718919,Sungei Gedong Camp
729753,Mandai Camp
729754,Mandai Camp 2
729756,Mandai Hill Camp
730000,Former Woodlands Regional Bus Interchange
737735,Woodlands Temporary Bus Interchange
737736,Woodlands MRT Station (TEL)
738103,Woodlands Checkpoint
738203,Woodlands Checkpoint
738343,Woodlands Integrated Transport Hub
738344,Admiralty MRT Station
738406,Global Foundries
738700,Woodlands Checkpoint
738702,Kranji MRT Station
738964,Republic Polytechnic
739044,Marsiling MRT Station
739484,Kranji Bus Depot
756972,Canberra MRT Station
757618,Sembawang Camp
757621,Chong Pang Camp
757705,Woodlands Bus Depot
757752,Sembawang Airbase
757753,Khatib Camp
757758,Dieppe Barracks
758103,Senoko Power Station
759775,Sembawang MRT Station
759907,Senoko Incineration Plant
759945,Admiralty West Prison
759956,Sembawang Shipyard/Wharf
759957,Sembawang Prison
763504,Block 504C Yishun Avenue 4
769092,Khatib MRT Station
769093,Yishun MRT Station
769100,Yishun Bus Interchange
769194,4 Lorong Chencharu
778895,Nee Soon Camp
778900,Nee Soon Camp (L North)
779405,Mandai Depot
779914,Nee Soon Camp SCDF
786010,Seletar Bus Depot
786816,106 Lentor Street
797792,Seletar Airport Passenger Terminal
797809,Seletar Airport
798299,14 Regent Street
799320,4 Jalan Tari Dulang
805434,24 Mimosa View
808927,4 Jalan Keruing
819658,Changi International Airport Services
819659,SATS Inflight Catering Centre 1
828604,Punggol North MRT Station
828868,Punggol MRT Station
